"metric","val","method","spl"
"acc",0.983061101028433,"linear",1
"binacc",0.983061101028433,"linear",1
"eacc",0.0169388989715669,"linear",1
"ebinacc",0.0169388989715669,"linear",1
"nll",0.081902471121784,"linear",1
"binnll",0.081902471121784,"linear",1
"rps",0.0164560583552766,"linear",1
"cint",-0.0712378419825321,"linear",1
"cslope",1.12089950483217,"linear",1
"brier",0.0164560583552766,"linear",1
"auc",0.685239697802198,"linear",1
"eauc",0.314760302197802,"linear",1
"qwk",0,"linear",1
"eqwk",1,"linear",1
"acc",0.983212341197822,"linear",2
"binacc",0.983212341197822,"linear",2
"eacc",0.0167876588021778,"linear",2
"ebinacc",0.0167876588021778,"linear",2
"nll",0.0819299738559176,"linear",2
"binnll",0.0819299738559176,"linear",2
"rps",0.0162653680279447,"linear",2
"cint",-0.0429671378616621,"linear",2
"cslope",0.946371964062866,"linear",2
"brier",0.0162653680279447,"linear",2
"auc",0.648300815813506,"linear",2
"eauc",0.351699184186494,"linear",2
"qwk",0,"linear",2
"eqwk",1,"linear",2
"acc",0.981548699334543,"linear",3
"binacc",0.981548699334543,"linear",3
"eacc",0.0184513006654567,"linear",3
"ebinacc",0.0184513006654567,"linear",3
"nll",0.0883417199632962,"linear",3
"binnll",0.0883417199632962,"linear",3
"rps",0.0179271589053878,"linear",3
"cint",0.0327721395775928,"linear",3
"cslope",0.938079192615081,"linear",3
"brier",0.0179271589053878,"linear",3
"auc",0.67076839526131,"linear",3
"eauc",0.32923160473869,"linear",3
"qwk",0,"linear",3
"eqwk",1,"linear",3
"acc",0.983363581367211,"linear",4
"binacc",0.983363581367211,"linear",4
"eacc",0.0166364186327889,"linear",4
"ebinacc",0.0166364186327889,"linear",4
"nll",0.0833084192383945,"linear",4
"binnll",0.0833084192383945,"linear",4
"rps",0.0162591384281454,"linear",4
"cint",-0.076780279063539,"linear",4
"cslope",0.673650282511277,"linear",4
"brier",0.0162591384281454,"linear",4
"auc",0.620985850507536,"linear",4
"eauc",0.379014149492464,"linear",4
"qwk",0,"linear",4
"eqwk",1,"linear",4
"acc",0.982909860859044,"linear",5
"binacc",0.982909860859044,"linear",5
"eacc",0.0170901391409558,"linear",5
"ebinacc",0.0170901391409558,"linear",5
"nll",0.0852159547724715,"linear",5
"binnll",0.0852159547724715,"linear",5
"rps",0.0167380240471478,"linear",5
"cint",-0.0572959849146926,"linear",5
"cslope",0.664652103461292,"linear",5
"brier",0.0167380240471478,"linear",5
"auc",0.625986707281038,"linear",5
"eauc",0.374013292718962,"linear",5
"qwk",0,"linear",5
"eqwk",1,"linear",5
"acc",0.983363581367211,"linear",6
"binacc",0.983363581367211,"linear",6
"eacc",0.0166364186327889,"linear",6
"ebinacc",0.0166364186327889,"linear",6
"nll",0.0811485637899154,"linear",6
"binnll",0.0811485637899154,"linear",6
"rps",0.0161693406281056,"linear",6
"cint",-0.0770816457626376,"linear",6
"cslope",1.02180343355172,"linear",6
"brier",0.0161693406281056,"linear",6
"auc",0.671973658454741,"linear",6
"eauc",0.328026341545259,"linear",6
"qwk",0,"linear",6
"eqwk",1,"linear",6
